iter	Passed	Remaining
974	49314	1264
975	49362	1213
976	49409	1163
977	49456	1112
978	49505	1061
979	49552	1011
980	49600	960
981	49648	910
982	49695	859
983	49742	808
984	49791	758
985	49839	707
986	49887	657
987	49935	606
988	49985	555
989	50034	505
990	50088	454
991	50139	404
992	50186	353
993	50235	303
994	50283	252
995	50331	202
996	50379	151
997	50427	101
998	50479	50
999	50527	0
